,Type,lonlat,Area,id,tags.power,Country
0,Way,"[-11.723247741866585, 9.070041269280653]",5900.0,229635685.0,substation,sierra-leone
1,Way,"[-12.234058503910289, 8.713473065874512]",3540.0,935409115.0,substation,sierra-leone
2,Way,"[-13.249533618144493, 8.490178480540694]",12400.0,176819726.0,substation,sierra-leone
3,Way,"[-11.764522064470247, 9.034436720811799]",35960.0,821255222.0,substation,sierra-leone
