,id,lonlat,tags.power,tags.structure,Type,Country
72,2179090496.0,"[-13.069755399999988, 8.324961200000008]",tower,,Node,sierra-leone
73,7865558809.0,"[-11.819458299999923, 9.347169799999943]",tower,,Node,sierra-leone
74,2178168401.0,"[-12.445154399999987, 8.769734600000005]",tower,,Node,sierra-leone
75,1873043942.0,"[-13.246330099999883, 8.460384199999979]",tower,,Node,sierra-leone
76,2178168403.0,"[-12.438787899999987, 8.773181000000005]",tower,,Node,sierra-leone
77,7657401094.0,"[-11.877023399999931, 9.063774400000039]",tower,,Node,sierra-leone
78,3564382706.0,"[-11.77402560000001, 9.03067140000002]",tower,,Node,sierra-leone
79,7657398874.0,"[-11.783197999999935, 9.035079900000039]",tower,,Node,sierra-leone
80,2178178113.0,"[-11.873952199999984, 8.981417900000004]",tower,,Node,sierra-leone
81,2179090487.0,"[-13.067310299999988, 8.323261800000008]",tower,,Node,sierra-leone
82,2178168435.0,"[-12.329132499999986, 8.815167]",tower,,Node,sierra-leone
83,2179080501.0,"[-11.986419299999985, 8.935758600000002]",tower,,Node,sierra-leone
84,7865532130.0,"[-11.967214799999928, 9.12416339999994]",tower,,Node,sierra-leone
85,3564382785.0,"[-11.75367740000001, 9.048319600000019]",tower,,Node,sierra-leone
86,1872320490.0,"[-13.114458399999883, 8.355731999999975]",tower,,Node,sierra-leone
87,3869423058.0,"[-12.816252500000164, 8.472685099999854]",tower,,Node,sierra-leone
88,7657398896.0,"[-11.85200829999993, 9.05651470000004]",tower,,Node,sierra-leone
89,1873479445.0,"[-13.22505349999988, 8.446317099999975]",tower,,Node,sierra-leone
90,7865558789.0,"[-11.865487199999922, 9.305012399999942]",tower,,Node,sierra-leone
91,2179090508.0,"[-13.072578099999987, 8.326904500000008]",tower,,Node,sierra-leone
92,1872320652.0,"[-12.891829499999885, 8.419870399999978]",tower,,Node,sierra-leone
93,2088169691.0,"[-12.258656000000002, 8.822906900000001]",tower,,Node,sierra-leone
94,6533607296.0,"[-12.835593400000034, 8.458971800000034]",tower,,Node,sierra-leone
95,2088169802.0,"[-12.142441099999996, 8.858743200000003]",tower,,Node,sierra-leone
96,2178168438.0,"[-12.317247199999986, 8.816429000000001]",tower,,Node,sierra-leone
97,2179080529.0,"[-11.887461199999986, 8.976323100000004]",tower,,Node,sierra-leone
98,7657398889.0,"[-11.827284999999932, 9.03859710000004]",tower,,Node,sierra-leone
99,7865532156.0,"[-11.964021599999928, 9.21610519999994]",tower,,Node,sierra-leone
100,1872370631.0,"[-13.242582099999883, 8.457859499999978]",tower,,Node,sierra-leone
101,2908543011.0,"[-11.830324999999892, 8.99771489999992]",tower,,Node,sierra-leone
102,2179080538.0,"[-11.855550999999986, 8.988309600000001]",tower,,Node,sierra-leone
103,3869420856.0,"[-12.831091400000165, 8.462165599999855]",tower,,Node,sierra-leone
104,2179090492.0,"[-13.061665399999988, 8.324071100000008]",tower,,Node,sierra-leone
105,7657398894.0,"[-11.845709999999931, 9.05193340000004]",tower,,Node,sierra-leone
106,2088169898.0,"[-12.083018299999994, 8.889719300000003]",tower,,Node,sierra-leone
107,7865557371.0,"[-11.949423999999922, 9.297026399999943]",tower,,Node,sierra-leone
108,1872320736.0,"[-12.858004499999883, 8.443074799999975]",tower,,Node,sierra-leone
109,2178168433.0,"[-12.336040699999986, 8.814384700000002]",tower,,Node,sierra-leone
110,8668408892.0,"[-12.215652800000061, 8.763605999999982]",tower,,Node,sierra-leone
111,2179080520.0,"[-11.915113799999986, 8.965929800000005]",tower,,Node,sierra-leone
112,2179080526.0,"[-11.896960699999985, 8.972747000000004]",tower,,Node,sierra-leone
113,1872320773.0,"[-12.84187169999988, 8.454487899999975]",tower,,Node,sierra-leone
114,1872370630.0,"[-13.239725399999882, 8.455996499999978]",tower,,Node,sierra-leone
115,2179090494.0,"[-13.055727999999988, 8.324945000000008]",tower,,Node,sierra-leone
116,2088169873.0,"[-12.064038699999994, 8.884969900000002]",tower,,Node,sierra-leone
117,7865558803.0,"[-11.836065399999923, 9.336925799999943]",tower,,Node,sierra-leone
118,1986134154.0,"[-12.795145699999999, 8.492481500000011]",tower,,Node,sierra-leone
119,7865532128.0,"[-11.963151299999927, 9.11990659999994]",tower,,Node,sierra-leone
120,8668408905.0,"[-12.232787000000064, 8.73648359999998]",tower,,Node,sierra-leone
121,2179090515.0,"[-13.032937199999987, 8.328297600000008]",tower,,Node,sierra-leone
122,1872320524.0,"[-13.15164199999988, 8.383841899999974]",tower,,Node,sierra-leone
123,1986155165.0,"[-12.483071399999996, 8.747685300000018]",tower,,Node,sierra-leone
124,2179080496.0,"[-12.006618199999984, 8.9214484]",tower,,Node,sierra-leone
125,2179080530.0,"[-11.884005299999986, 8.977620100000003]",tower,,Node,sierra-leone
126,2179090548.0,"[-12.991519099999989, 8.336144700000006]",tower,,Node,sierra-leone
127,2088169728.0,"[-12.224801900000003, 8.826614200000002]",tower,,Node,sierra-leone
128,1872320838.0,"[-12.73953809999988, 8.566794799999972]",tower,,Node,sierra-leone
129,8668408883.0,"[-12.219043400000059, 8.787076099999982]",tower,,Node,sierra-leone
130,1873460784.0,"[-13.25116389999988, 8.482068799999976]",tower,,Node,sierra-leone
131,2088169850.0,"[-12.049016199999995, 8.882724000000001]",tower,,Node,sierra-leone
132,7657398898.0,"[-11.85826429999993, 9.06106830000004]",tower,,Node,sierra-leone
133,1872320522.0,"[-13.14510489999988, 8.380165499999974]",tower,,Node,sierra-leone
134,6317109367.0,"[-13.24912819999999, 8.489332100000016]",tower,,Node,sierra-leone
135,7865557380.0,"[-11.899454899999922, 9.313294899999944]",tower,,Node,sierra-leone
136,2178168412.0,"[-12.401512599999986, 8.792743000000003]",tower,,Node,sierra-leone
137,2457528294.0,"[-12.038126500000013, 8.89912140000006]",tower,,Node,sierra-leone
138,1872320670.0,"[-12.883383899999885, 8.425039999999978]",tower,,Node,sierra-leone
139,2178178081.0,"[-12.001748199999989, 8.924864000000003]",tower,,Node,sierra-leone
140,1872320621.0,"[-13.169004599999884, 8.398200099999977]",tower,,Node,sierra-leone
141,7657398895.0,"[-11.848691599999931, 9.05405150000004]",tower,,Node,sierra-leone
142,7865532140.0,"[-11.957197299999928, 9.15810809999994]",tower,,Node,sierra-leone
143,1872320688.0,"[-13.207509099999884, 8.435041499999977]",tower,,Node,sierra-leone
144,2179090539.0,"[-13.01232739999999, 8.331291000000007]",tower,,Node,sierra-leone
145,1872320657.0,"[-12.886202299999885, 8.423323199999977]",tower,,Node,sierra-leone
146,2088169776.0,"[-12.166607999999998, 8.845368100000004]",tower,,Node,sierra-leone
147,2088169798.0,"[-12.145449799999996, 8.857100800000003]",tower,,Node,sierra-leone
148,2088169754.0,"[-12.188481200000002, 8.833285000000002]",tower,,Node,sierra-leone
149,3566595501.0,"[-11.736058500000007, 9.062924600000013]",tower,,Node,sierra-leone
